GeneID	GSM8179760	GSM8179762	GSM8179763	GSM8179764	GSM8179766	GSM8179767	GSM8179768	GSM8179769	GSM8179770	GSM8179772	GSM8179774	GSM8179775	GSM8179778
105373066	0	0	0	0	0	0	0	0	0	0	0	0	0
2192	0	0	0	0	0	0	0	1	0	0	0	0	2
100506737	0	1	0	0	0	0	0	0	0	0	0	0	0
105373069	0	0	0	0	0	0	0	0	0	0	0	0	0
105373067	0	0	0	0	0	0	0	0	0	0	0	0	0
105373068	0	0	1	0	0	0	0	0	1	0	0	0	0
25814	549	870	313	383	562	267	460	436	407	578	484	856	521
100616253	0	0	0	0	0	0	0	0	0	0	0	0	0
107985535	0	0	0	0	0	1	0	0	0	0	0	0	0
105373071	0	0	0	0	0	0	3	0	0	0	1	0	1
7477	0	0	2	0	0	0	2	1	0	0	0	2	0
730668	0	0	0	0	0	1	0	0	0	0	0	1	0
100271722	9	22	5	14	4	9	19	4	7	13	7	29	32
150381	30	24	28	10	23	30	28	31	23	27	12	35	32
642648	0	0	1	1	0	1	0	0	0	1	1	1	2
400931	22	28	14	25	45	18	71	14	25	53	36	65	45
100500828	0	0	0	0	0	0	0	0	0	0	0	0	0
112268288	0	1	1	1	1	0	0	0	0	0	2	1	1
406883	1	1	1	2	1	1	3	0	1	1	0	1	1
100616143	1	1	1	0	3	1	4	1	1	3	2	2	1
406884	0	0	1	1	0	1	2	0	0	2	1	2	1
5465	153	195	85	140	117	66	184	78	134	159	121	294	170
105373074	0	0	0	1	0	0	1	0	0	0	1	2	0
150383	55	82	37	41	73	49	126	51	44	62	49	163	94
10343	1	3	0	4	1	1	4	3	1	8	3	6	10
55020	204	706	192	433	424	251	678	579	202	613	478	489	497
51512	38	20	11	16	17	6	13	10	10	14	14	14	19
150384	3	3	2	4	3	2	4	1	2	2	3	7	6
55687	105	225	162	158	274	144	550	109	116	305	237	724	340
9620	37	89	55	25	77	34	78	39	43	55	36	153	77
105373075	0	0	0	0	0	0	0	0	0	0	0	0	0
23151	388	410	147	220	353	156	409	265	296	345	273	704	334
64781	1167	2263	881	910	1596	760	1921	1083	1017	1659	1383	2959	2121
105373077	7	7	5	1	12	3	13	7	5	2	9	20	44
107985566	0	9	3	0	1	1	4	2	0	2	2	5	10
25771	574	1032	293	449	603	287	538	444	425	601	525	921	411
642757	1	0	0	0	0	0	0	2	0	0	0	0	0
105369161	8	18	7	6	10	4	7	11	9	5	7	27	22
100128818	3	0	1	1	0	0	5	2	1	4	1	3	4
339685	1	5	1	0	0	0	0	0	1	1	1	3	5
101927722	0	6	1	0	1	1	8	3	2	5	5	6	13
400932	0	0	0	0	0	0	0	0	0	0	0	0	0
284930	0	0	0	0	0	0	0	0	0	0	0	0	0
107985536	2	0	2	0	0	0	0	0	0	0	0	0	1
107985581	0	0	0	0	0	0	2	0	0	2	1	1	2
100422916	0	0	0	0	0	0	0	0	0	0	0	0	0
105373080	0	0	0	0	0	0	0	0	0	0	0	0	0
105373081	0	0	0	0	0	0	0	0	0	0	0	0	0
25817	0	0	0	0	0	0	0	0	0	0	0	0	0
284933	0	0	0	0	0	0	0	0	0	0	0	0	0
105373083	0	0	0	0	0	0	0	0	0	0	0	0	0
100616415	0	0	0	0	0	0	0	0	0	0	0	0	0
100128946	0	0	0	0	0	0	0	0	0	0	0	0	0
105373085	5	6	6	12	5	1	34	7	21	12	7	6	11
105373086	0	0	0	0	0	0	0	0	0	0	0	0	0
348645	75	170	78	76	136	58	125	82	59	161	108	236	139
105373087	0	0	1	3	0	0	0	0	0	0	0	1	1
105373089	2	0	1	3	3	1	7	1	1	3	2	4	2
100500882	0	0	0	0	0	1	0	0	0	0	0	2	2
23774	487	785	287	375	538	214	718	335	342	670	500	973	705
105377205	5	1	3	4	4	3	2	2	3	5	1	3	1
105373091	0	1	0	0	1	0	0	1	1	4	1	3	0
9889	304	379	147	169	257	125	274	135	193	305	186	467	275
79087	209	348	134	171	311	154	371	190	165	312	265	472	324
79174	162	263	126	135	185	67	303	181	107	213	149	317	257
107985553	4	8	6	4	5	3	9	6	1	8	6	17	3
415116	478	1010	556	416	935	429	770	785	595	802	792	996	635
102465493	1	2	1	1	4	3	4	1	3	4	3	3	1
400935	2	1	2	0	1	0	2	0	1	5	0	0	1
164714	0	0	0	0	0	0	0	0	0	0	1	0	0
23209	151	211	90	121	249	124	171	139	190	237	168	349	124
54456	1	1	1	0	1	3	0	1	3	2	0	86	0
56666	103	318	128	199	272	138	215	156	170	199	338	236	149
80305	613	1259	565	691	992	541	1996	647	543	1034	1007	2000	834
83642	115	296	130	163	297	194	497	145	130	287	224	481	293
105373095	137	211	152	170	255	162	514	139	110	313	189	582	361
85378	591	1039	718	646	1102	778	2991	507	406	1311	943	2885	1579
83933	191	379	188	335	564	340	1027	219	201	627	489	1134	331
6300	3	5	1	1	1	2	5	2	1	1	0	9	2
5600	26	41	26	22	38	30	74	37	13	65	23	98	72
23654	1524	1343	475	1351	2157	522	550	679	1318	1644	1492	2618	494
414918	80	109	43	85	138	70	95	74	89	93	78	172	87
105373096	0	3	1	1	1	0	2	1	2	0	1	12	3
9701	638	1082	474	583	951	535	1265	570	529	1028	853	1878	826
113218480	0	1	0	0	0	1	0	1	0	0	1	0	1
107985556	6	5	5	11	10	17	12	4	1	9	9	34	6
6305	1560	3000	1059	1472	2173	1354	2970	1286	1122	2399	1904	4105	1874
79924	12	12	9	8	11	8	10	7	7	9	7	21	12
55586	6	8	7	4	6	6	5	4	4	3	4	15	6
91289	471	717	383	593	925	544	1750	482	364	1024	901	1935	761
29781	402	742	337	424	617	412	975	416	374	656	530	1090	682
9997	107	223	127	248	250	156	275	130	119	247	236	336	180
1890	2146	2335	1249	3571	4023	1460	1846	2165	2582	3601	3800	4048	1108
440836	164	144	161	388	243	118	277	138	122	355	385	533	112
102724608	32	40	13	48	8	6	39	27	20	28	30	20	27
105373098	29	33	16	40	8	6	45	26	22	33	25	20	25
113730	97	83	38	63	68	33	93	28	61	66	74	126	77
644186	0	2	0	1	1	1	1	1	1	0	3	1	1
107985568	3	8	8	8	12	3	23	5	1	18	9	32	10
386593	205	252	362	367	543	211	1142	239	182	684	510	1340	583
1375	58	58	143	123	230	55	428	100	44	282	145	506	207
1120	161	218	235	263	340	165	775	159	146	435	397	891	398
100144603	4	5	1	2	5	0	3	4	2	2	4	10	2
23542	2	5	0	6	2	1	6	0	5	8	6	1	2
410	481	695	384	519	860	338	1211	480	302	1149	933	1630	526
85358	0	1	0	2	0	0	1	1	1	0	3	2	2
105373100	0	0	0	0	0	0	0	0	0	0	0	0	0
49	0	0	0	0	0	1	0	0	0	0	0	0	0
284942	11	48	13	16	26	15	46	12	26	20	17	38	57
11158	148	276	124	149	218	80	367	113	111	225	160	622	269
107987388	9	7	3	5	8	5	6	4	4	13	7	10	5
102724151	5	3	1	2	6	2	3	1	4	3	2	8	2
102724563	8	9	7	4	11	3	10	5	7	9	10	14	8
102724197	6	7	4	5	10	6	12	9	7	15	9	18	7
105379548	3	1	1	2	1	1	3	1	1	2	1	3	3
107987389	0	0	0	0	0	0	0	0	0	0	0	0	0
105369189	0	0	0	0	0	0	0	0	0	0	0	1	0
107987390	0	0	0	0	0	0	1	0	0	0	0	0	0
107987392	14	20	6	8	12	9	35	7	12	12	14	35	24
109864271	18756	18774	6687	6385	12061	9313	5186	17854	10231	8462	7177	9558	17347
109864273	3636	2690	1311	1459	2458	3291	1653	3332	2241	2200	1900	2763	3244
109864274	36	28	16	11	31	35	17	46	21	12	19	38	32
109864272	15075	16032	5351	4907	9556	5948	3477	14464	7963	6241	5250	6727	13968
105379549	6	12	4	5	6	5	10	3	1	10	5	17	8
107987393	0	0	0	0	0	0	0	0	0	0	0	0	0
102724621	2	0	1	0	1	1	1	0	0	0	1	1	0
102724823	3	5	1	2	10	4	10	8	6	11	6	14	6
102724865	7	6	5	3	9	2	6	4	5	9	7	11	7
102724728	2	2	3	2	7	2	2	1	6	3	3	4	1
107984149	2	3	3	2	3	2	4	1	1	6	1	4	2
102724751	7	7	3	7	7	6	10	2	3	11	8	9	5
105379550	0	0	0	0	0	0	0	0	0	0	0	0	0
107987394	0	0	0	0	0	0	0	0	0	0	0	0	0
105379551	0	0	0	0	0	0	0	0	1	0	0	0	0
102724770	34	97	35	37	62	54	104	50	34	43	45	122	110
102724788	0	3	1	1	1	2	4	1	0	1	1	2	0
55344	94	168	129	132	155	115	287	90	92	118	141	255	194
8225	286	699	213	278	496	318	771	299	249	393	403	877	757
283981	20	46	35	39	44	32	177	38	23	68	50	207	262
28227	69	135	49	64	96	63	284	42	35	112	73	243	159
102724521	0	6	1	3	2	0	4	0	0	1	2	2	1
6473	0	0	0	0	0	0	1	0	0	0	0	1	0
64109	5	2	0	1	0	2	4	1	3	2	1	5	3
107985697	0	0	0	0	0	1	5	0	0	0	1	0	1
1438	826	1336	545	822	1439	385	714	788	1318	1099	1206	1217	583
112268304	12	7	5	11	14	3	15	4	9	8	8	20	6
100500894	0	1	0	1	1	0	5	0	2	1	0	1	0
3563	349	121	71	78	138	65	146	62	51	84	64	128	110
101928032	9	1	9	8	19	2	38	3	10	15	10	31	12
101928055	82	67	32	48	60	31	111	19	24	65	27	113	69
293	3769	7566	2172	3127	5225	4038	7228	4196	3129	4327	4225	10673	9210
105373102	1	5	8	22	7	3	24	3	2	15	7	33	7
751580	1	1	7	4	1	4	3	0	3	2	7	17	4
80161	45	47	45	40	89	22	104	32	33	77	66	148	32
8623	432	501	170	232	412	173	445	312	201	313	373	622	314
286530	1803	2863	721	1050	1475	726	1391	1080	1190	1878	1270	2791	1438
8227	528	805	511	539	875	480	2175	395	395	1014	907	2390	1008
438	23	35	16	27	33	11	63	10	15	30	31	83	32
107985706	0	21	0	1	3	1	7	1	0	3	0	4	6
107985637	4	4	0	0	4	1	1	3	0	2	2	11	10
105373105	74	44	3	2	31	42	10	64	2	49	30	140	92
105379414	11	12	0	1	4	0	4	9	0	4	3	21	12
105379413	29	23	2	2	31	13	5	18	0	13	4	47	71
107985677	0	0	0	0	0	0	1	0	0	1	0	3	0
207063	129	204	55	93	156	69	177	84	130	150	129	166	198
9189	763	963	308	477	900	398	412	419	688	819	702	989	474
101928092	13	30	8	21	17	10	33	18	10	18	17	22	32
102464837	0	0	0	0	0	0	0	0	0	0	0	0	0
401577	41	36	13	18	36	28	24	51	31	36	25	84	48
100359394	0	0	0	0	0	0	0	0	0	0	0	1	0
4267	1245	2234	879	1060	1988	1486	2009	1529	1246	1812	1577	2872	1774
7499	10	2	1	1	1	0	0	4	0	1	1	0	2
8908	1	0	0	0	0	0	0	1	0	0	0	0	0
414	138	288	169	319	236	75	138	216	182	248	215	274	130
100506356	22	41	17	42	35	9	13	28	17	31	19	36	14
415	1	0	0	0	0	0	1	0	1	0	0	0	0
347527	0	0	0	0	0	0	0	0	0	0	0	0	0
416	0	0	0	0	0	0	0	0	0	0	0	0	0
100129464	0	0	0	0	0	0	0	0	0	0	0	0	0
25878	0	0	0	0	0	0	0	0	0	0	0	0	0
109616969	0	0	0	0	0	0	0	0	0	0	0	0	0
5613	503	873	338	543	495	172	639	390	329	487	341	769	746
100873944	0	0	0	0	0	0	0	0	0	0	0	1	0
389906	21	151	45	57	42	34	97	44	24	41	23	78	102
100189132	0	0	0	0	0	0	0	0	0	0	0	0	0
101930105	9	163	31	22	11	21	122	28	17	19	37	36	140
100189050	0	0	0	0	0	0	0	0	0	0	0	0	0
729162	7	175	25	17	11	23	145	27	17	20	56	32	156
100189427	0	0	0	0	0	0	0	0	0	0	0	0	0
107987330	1	64	7	1	1	6	57	6	8	2	21	1	53
101928201	0	0	0	0	0	0	0	0	0	0	0	0	0
101928228	0	0	0	0	0	0	0	0	0	0	0	0	0
57502	0	3	0	0	0	0	0	0	0	2	0	0	0
105373156	0	0	0	0	0	0	1	0	0	0	0	0	1
100616373	0	0	0	0	0	0	0	0	0	0	0	0	0
51481	0	0	0	0	0	0	0	0	0	0	0	0	0
8226	125	245	108	157	145	84	162	180	108	134	100	157	241
107987331	0	0	0	0	0	0	3	0	0	0	1	0	0
412	84	148	52	114	86	25	79	84	129	97	81	111	69
100616467	0	0	0	0	0	0	0	0	0	0	0	0	0
26609	0	0	0	0	0	0	0	0	0	0	0	0	0
8228	42	80	58	38	47	25	64	35	23	45	30	94	108
107985675	3	5	4	3	3	2	3	3	1	2	2	2	9
723779	0	0	0	0	0	0	0	0	0	0	0	0	0
51480	0	0	0	0	0	0	0	0	0	0	0	0	0
107985676	0	0	0	0	0	0	0	0	0	0	0	0	0
425054	0	0	0	0	0	0	0	0	0	0	0	0	0
107985716	0	0	0	0	0	0	0	0	0	0	0	0	0
107985715	0	0	0	0	0	0	0	0	0	0	0	0	0
3730	3	0	0	3	2	0	2	2	0	1	2	1	0
171482	0	0	0	0	0	0	0	0	0	0	0	0	0
105373125	0	0	0	0	0	0	0	0	0	0	0	0	0
171483	0	0	0	0	0	0	0	0	0	0	0	1	0
107985634	0	1	0	0	0	0	11	0	0	0	1	0	51
6907	1458	2105	670	1179	1571	450	661	1021	1403	1434	1453	1627	653
4935	0	2	0	1	0	1	0	0	1	0	1	1	1
105373126	0	0	0	0	1	0	0	0	2	0	0	2	0
357	1	1	0	0	0	1	2	0	2	0	1	0	0
107985658	0	0	0	0	0	0	0	0	0	0	0	0	0
100288814	0	0	0	0	0	0	0	0	0	0	0	0	0
55841	1066	1433	616	809	1264	309	1002	692	983	1046	1007	1239	745
1183	87	157	73	125	144	38	60	74	112	176	94	207	72
4281	0	0	0	0	0	0	1	0	1	0	1	0	1
3052	166	282	89	141	204	96	145	147	150	196	138	280	139
395	23	34	16	24	29	22	24	33	41	38	31	28	16
107985627	0	0	0	0	0	0	0	0	0	0	0	0	1
265	0	0	0	0	0	0	0	0	0	0	0	0	0
100847063	0	0	0	0	0	0	0	0	0	0	0	0	0
105373131	0	0	0	1	0	0	1	0	0	0	0	0	0
10943	851	1438	780	659	829	402	1388	734	785	953	739	1716	1413
9758	0	0	0	0	0	0	0	0	0	0	0	0	0
5634	231	294	122	146	156	89	179	160	134	195	116	347	170
51284	242	209	95	228	161	46	93	104	183	191	110	332	100
349408	3	0	0	1	2	0	0	1	2	1	2	1	0
51311	2634	2239	1040	1547	1923	324	686	1665	2147	1781	1534	1649	714
7114	15213	23079	8682	11168	17204	12288	20043	16318	14566	15314	16785	27121	22712
171484	0	1	0	1	0	0	4	2	1	0	0	0	1
105373133	0	1	0	1	0	0	0	0	0	0	1	0	2
105373134	0	0	0	0	0	0	0	0	0	0	1	0	0
109729169	0	0	0	0	0	0	0	0	0	0	0	0	0
107985701	0	0	0	0	0	0	0	0	0	0	0	0	0
100093698	0	0	0	0	0	0	0	0	0	0	0	0	0
92552	0	0	0	0	0	0	0	0	0	0	0	0	0
100133123	0	0	0	0	0	0	0	0	0	0	0	0	0
105373137	0	0	0	0	0	0	0	0	0	0	0	0	0
25975	0	0	0	0	0	0	0	1	0	0	0	0	0
102466519	0	0	0	0	0	0	0	0	0	0	0	0	0
107985657	0	0	0	1	0	0	2	0	0	0	1	1	2
170082	55	101	47	52	65	42	84	50	50	63	50	129	95
107985656	10	11	7	10	10	5	29	5	3	13	9	32	29
9367	146	240	98	125	149	69	149	192	142	205	198	224	200
6399	143	247	119	130	159	126	287	130	137	209	144	311	342
8481	336	424	301	269	329	133	598	189	189	324	313	735	569
2824	12	13	20	7	12	11	20	8	3	13	6	27	32
105373138	3	1	0	0	0	0	2	0	0	1	0	6	3
54960	67	151	96	73	82	87	195	55	56	105	69	268	197
286480	86	96	35	50	67	34	74	62	44	76	73	89	66
2742	0	1	0	0	0	0	0	0	0	0	0	0	0
107985686	0	0	0	0	0	0	0	0	0	0	0	0	0
2187	31	43	22	19	17	15	42	23	15	29	22	54	66
158747	683	834	370	600	550	129	362	499	652	588	603	823	343
102724092	0	0	0	0	0	1	0	0	0	0	0	0	0
140462	3	5	2	1	5	4	7	1	4	2	3	13	6
140456	0	0	0	0	0	0	0	0	0	0	0	1	0
5277	105	58	52	40	91	32	99	63	75	94	71	148	121
100532742	0	0	0	0	0	2	1	0	0	0	0	1	0
2277	0	0	0	0	0	0	0	0	0	0	0	0	0
8544	0	0	0	0	1	2	1	0	0	0	1	1	0
59272	0	0	0	0	0	0	0	0	0	0	0	0	0
660	48	152	32	58	63	3	31	34	102	66	69	29	17
104798195	0	0	0	0	0	0	0	0	0	0	0	0	0
57393	2	6	0	2	0	1	6	0	2	2	3	3	7
340591	55	133	58	66	72	40	126	76	55	78	49	157	102
114004397	139	215	89	110	118	53	151	110	75	141	87	207	188
11238	122	184	75	96	102	48	133	88	68	124	75	170	155
8551	17	29	11	14	22	9	20	14	10	18	9	30	26
8233	331	581	233	299	417	195	436	341	335	398	287	495	448
8905	708	819	393	588	738	354	506	768	815	730	626	1018	708
2925	1	4	2	2	1	0	0	1	2	1	0	4	5
645864	1	0	0	0	3	0	0	2	0	0	0	1	0
56474	58	63	36	37	57	21	46	34	36	64	44	128	46
100616428	0	0	0	0	0	0	0	0	0	0	0	0	0
795	0	0	0	0	0	0	0	0	0	0	0	0	0
94056	327	484	176	247	281	146	338	269	288	379	278	374	306
55787	247	355	146	154	180	67	234	131	114	200	114	298	249
5931	688	1084	436	521	669	350	664	466	426	783	519	1074	522
9185	373	707	272	367	497	66	250	335	643	566	485	257	204
4810	125	86	31	66	83	13	49	31	83	67	71	132	52
100616249	0	0	0	0	0	0	0	0	0	0	0	0	0
101928389	1	0	1	4	2	1	1	0	5	1	3	4	0
100873920	0	0	0	0	0	0	0	0	0	0	0	0	0
105373142	0	0	0	0	0	0	1	0	0	0	0	0	2
6322	112	93	76	51	56	33	175	37	51	83	52	257	263
10742	0	6	0	1	3	5	2	4	9	2	0	9	2
105373144	0	0	0	0	0	0	0	0	0	0	0	0	0
139105	67	76	26	37	70	53	27	37	68	100	60	19	14
10389	15	12	8	4	11	1	15	10	6	9	4	21	10
6792	206	202	77	124	133	25	68	60	178	131	160	179	92
6247	0	1	0	1	0	0	0	0	1	2	0	2	1
100189191	0	0	0	0	0	0	0	0	0	0	0	0	0
5475	3	10	2	7	7	0	7	6	9	6	12	10	4
100874004	0	0	0	0	0	0	0	0	0	0	0	1	0
100132163	29	66	27	28	60	21	69	25	23	52	37	80	46
5256	412	753	294	432	589	262	868	313	400	603	450	1197	563
101928415	16	8	11	5	10	7	15	6	10	14	10	16	14
10149	0	2	1	1	2	1	1	2	1	0	7	1	0
5160	328	560	229	293	394	196	462	266	277	371	315	759	357
389840	29	35	14	14	24	13	37	14	23	30	22	57	24
30011	2349	3368	978	1651	2323	632	916	1470	2036	2237	2013	2394	919
256643	130	155	83	102	96	44	159	75	98	149	96	225	148
729609	0	0	0	0	0	0	0	0	0	0	0	0	0
256714	3	8	5	4	0	1	13	1	0	1	1	1	23
100500809	0	0	0	0	0	0	0	0	0	0	0	0	0
1964	225	551	267	226	191	65	466	285	160	222	177	400	594
100158262	1	0	0	0	0	0	0	0	0	0	0	1	0
100874078	0	0	0	0	0	0	0	0	0	0	0	0	0
6197	1649	1806	882	1106	1290	365	940	844	1207	1474	1143	2064	1194
105373146	0	0	0	0	0	0	0	0	0	0	0	0	0
22866	36	56	29	27	26	13	34	17	17	42	30	78	50
257240	6	11	5	3	6	4	6	5	10	5	5	30	10
23676	0	0	0	0	0	0	0	0	0	0	0	0	0
51360	95	73	35	54	58	19	49	46	50	68	47	123	58
404281	5	4	6	5	6	2	9	2	6	10	2	8	10
6611	285	489	136	229	296	148	326	279	286	273	370	431	307
5251	9	19	11	6	19	12	17	7	7	10	13	16	18
100873942	0	0	0	0	0	0	0	0	0	0	0	0	0
100873065	1	1	0	0	0	0	1	0	0	1	0	1	0
158506	0	0	0	0	0	0	0	0	0	0	0	0	0
168400	0	0	0	0	0	0	0	0	0	0	0	0	0
139411	0	0	0	0	1	0	0	0	0	0	0	0	0
10549	103	214	84	82	143	98	192	102	90	102	100	265	235
23597	458	521	281	392	420	166	468	279	409	470	465	665	398
105373148	4	4	4	5	2	1	5	1	0	2	6	1	3
6303	3999	4021	2922	3603	4592	1524	4379	3911	3613	4608	4664	4542	3383
79135	31	63	11	22	40	19	31	29	21	38	24	56	44
254158	0	0	0	0	0	0	0	0	0	0	0	5	0
80311	114	141	51	62	69	32	75	79	79	88	91	124	95
1968	1858	3407	1388	1617	1828	781	2315	1664	1614	1730	1666	3237	2440
100873922	0	0	1	0	0	0	0	0	0	0	0	0	1
7543	390	625	274	337	297	85	401	254	303	308	272	583	632
170067	0	1	0	0	0	0	3	0	0	0	0	0	0
100130302	0	0	0	0	0	0	1	0	0	0	0	1	0
5165	694	947	387	488	713	185	393	398	672	740	536	814	438
9468	7	16	8	17	16	17	9	28	22	22	19	12	6
