GeneID	GSM8179740	GSM8179741	GSM8179743	GSM8179744	GSM8179745	GSM8179747	GSM8179751	GSM8179752	GSM8179754	GSM8179757	GSM8179758
1945	48	76	48	93	116	35	116	39	48	41	65
1944	26	30	19	28	49	14	38	25	16	14	19
1942	7	42	21	11	23	16	31	8	11	31	22
55974	174	329	191	265	386	121	272	141	189	228	191
54344	47	93	51	68	126	47	60	38	44	70	96
200185	278	557	358	451	630	221	464	245	326	454	412
80128	19	55	46	53	97	17	55	35	18	31	28
4582	2	9	7	9	14	1	11	5	8	1	4
693235	0	0	0	0	0	0	0	0	0	0	0
7059	111	190	214	284	348	73	248	196	208	117	131
105371450	23	34	48	65	71	17	61	42	42	19	24
4580	221	320	237	389	410	124	314	189	248	157	176
2630	175	210	146	306	303	74	237	149	188	85	69
2629	511	625	414	878	779	156	649	393	500	211	161
10712	90	124	128	187	198	55	175	94	108	62	64
10067	375	572	356	440	715	216	698	302	273	260	264
1196	328	548	399	589	885	165	688	328	373	167	243
57657	9	12	14	22	22	5	31	6	5	7	13
5313	1	2	2	1	5	2	3	0	2	1	2
2224	378	589	367	587	726	192	665	284	339	280	325
284618	135	244	196	253	333	96	268	129	122	110	142
23623	82	186	109	160	226	54	198	100	99	81	74
55870	894	1165	653	917	939	156	909	488	572	91	436
693140	4	4	4	6	6	0	5	4	5	1	5
645682	3	2	4	4	2	1	4	2	3	0	1
645676	9	22	18	15	27	5	7	9	9	6	11
101929703	9	29	14	16	23	4	15	11	5	5	29
105371452	5	4	5	3	8	4	6	3	1	3	4
55154	140	237	154	202	392	74	292	134	160	101	160
55249	1104	1582	1422	1645	1774	599	1955	941	1133	668	466
106633810	1	1	2	0	1	2	1	1	0	0	1
7818	669	1161	767	923	1212	351	975	494	671	719	795
100505728	5	7	3	6	8	2	5	4	6	2	4
100129405	84	154	110	133	232	40	188	84	84	66	104
54856	867	1228	753	1137	1294	318	1280	651	641	302	521
106633816	1	1	1	1	0	0	1	1	0	0	0
23208	254	356	206	416	694	73	430	247	233	139	129
6016	793	1094	815	1212	1099	252	846	550	809	362	334
22889	356	590	465	567	755	152	658	296	330	167	363
677823	0	1	0	0	0	0	0	0	0	0	0
677771	0	0	0	0	0	0	0	0	0	0	0
107985207	2	1	0	0	0	0	2	0	0	0	0
339403	1	0	1	1	2	0	0	1	2	0	0
9181	2196	2993	2017	3737	3727	820	3233	1879	2270	699	986
102465442	0	0	0	0	0	0	0	0	0	0	0
107985209	14	34	38	41	58	8	39	37	29	19	38
107985210	0	0	0	2	0	0	0	1	1	0	0
107985208	0	0	3	0	2	0	0	0	2	0	0
6746	1822	3458	2205	2961	3923	1274	2815	1502	2156	2656	2960
105371729	2	3	1	3	4	3	2	4	3	1	2
56893	181	399	261	277	472	125	465	208	197	96	123
28956	198	372	219	372	514	152	332	189	249	302	242
57111	2	8	1	4	2	3	4	2	3	5	6
92312	3	3	2	0	1	0	0	2	0	2	2
4000	195	212	110	205	311	100	510	134	156	148	43
64218	1674	1471	1176	1936	1600	245	1574	1038	1352	341	309
9673	869	1395	1119	1894	1308	333	1285	888	1101	363	468
100527963	104	168	90	162	181	54	159	82	107	86	79
11243	216	384	228	415	423	151	411	195	254	217	168
632	3	8	5	9	25	4	11	11	8	7	8
79957	14	71	63	77	138	15	53	25	35	27	31
23381	980	1764	1060	1614	2326	480	1811	797	890	567	684
84283	85	174	112	145	202	60	143	80	101	83	80
112770	267	408	183	365	591	113	286	124	147	206	173
391104	0	0	0	2	0	1	0	0	0	0	1
7203	1093	1792	1037	1358	1914	536	2058	833	845	855	815
128229	1	8	1	1	2	0	4	2	1	1	5
57127	0	0	0	0	1	0	0	0	0	0	1
10485	0	8	1	10	15	5	5	5	3	7	4
407046	0	0	0	0	0	0	0	0	0	0	0
4209	926	1530	816	1411	1685	336	1498	894	983	247	439
128239	5	1	2	2	3	5	2	0	0	2	0
164118	71	94	126	139	144	37	363	70	45	115	96
128240	182	414	216	336	556	134	400	188	196	264	263
54865	178	293	168	232	256	65	258	139	116	112	117
60484	0	0	1	0	1	0	1	0	0	0	0
101928177	0	0	0	0	0	0	0	0	0	0	0
105371453	0	0	4	3	5	0	4	0	0	2	0
63827	0	0	0	2	2	0	3	1	0	2	0
10763	0	0	0	0	0	0	0	0	1	0	0
1382	5	9	8	25	17	5	3	3	11	6	10
81875	519	808	440	716	754	202	678	385	427	239	247
51093	102	246	181	200	286	81	281	130	133	103	130
79590	163	345	193	269	395	133	306	128	184	187	203
3068	1990	2643	2377	2517	2723	1393	2805	1435	2074	1441	814
5546	517	816	509	740	895	261	828	418	448	271	304
9047	194	615	214	386	1015	205	624	418	293	185	215
4914	6	9	14	23	18	4	22	2	1	1	7
3645	2	0	0	1	1	0	1	0	0	0	0
375033	62	102	37	64	92	45	169	71	78	52	10
149499	0	0	1	0	0	2	0	0	0	0	0
9826	859	970	792	1414	1228	213	1147	686	881	214	257
768220	0	0	0	0	2	0	1	0	0	0	0
102724222	0	0	0	0	0	0	0	0	0	0	0
440695	8	13	9	10	9	4	9	4	5	2	1
2117	463	628	323	548	591	114	557	273	360	108	202
360155	0	1	0	1	0	0	0	0	0	0	0
107985211	24	48	17	32	55	12	15	7	14	11	64
105371456	4	0	4	2	4	0	0	1	1	3	0
105371455	40	27	82	51	84	9	89	42	33	45	6
101928202	3	1	9	2	4	3	4	2	10	3	0
83416	248	701	207	484	536	39	131	122	34	135	206
83417	0	0	1	0	0	0	1	0	0	1	0
105371457	3	1	0	1	3	0	0	0	0	0	0
115352	592	1221	553	854	1653	239	923	301	401	360	444
79368	115	263	271	189	411	56	179	121	55	81	192
115350	427	897	985	521	1186	161	597	297	169	181	809
922	0	0	0	0	0	0	0	1	0	0	0
105371458	0	0	0	0	0	0	0	0	0	0	0
105371459	0	0	0	0	0	0	0	0	0	0	0
55243	1	0	0	0	0	0	0	1	0	0	0
100505785	0	0	0	0	0	0	0	0	0	0	0
646268	0	0	0	0	0	0	0	0	0	0	0
105371460	0	1	0	0	0	0	0	0	0	0	0
912	275	577	276	739	901	116	547	296	262	159	209
909	11	35	19	24	42	11	27	11	9	8	8
910	4	4	5	8	2	4	2	3	4	6	0
911	162	268	120	236	297	115	199	59	142	95	92
913	7	7	5	7	19	8	13	5	16	6	6
128360	0	0	0	0	0	0	0	0	0	0	0
391107	0	0	0	0	0	0	0	0	0	0	0
107985212	0	0	0	0	0	0	0	0	0	0	0
391109	0	0	0	0	0	0	0	0	0	0	0
107985213	0	0	0	0	0	0	0	0	0	0	0
343406	0	0	0	0	0	0	0	0	0	0	0
391112	0	0	0	0	0	0	0	0	0	0	0
128366	0	0	0	0	0	0	0	0	0	0	0
128367	0	0	0	0	0	0	0	0	0	0	0
128368	0	0	0	0	0	0	0	0	0	0	0
6708	42	16	51	25	21	10	47	12	41	14	6
81448	0	0	0	0	0	0	0	0	0	0	0
391114	1	1	2	0	0	1	1	0	0	0	0
128372	22	16	18	23	16	1	9	8	10	1	7
128371	0	0	0	0	1	0	0	0	0	0	0
81442	0	0	0	0	0	0	0	0	0	0	0
4332	20921	21709	22841	32595	21034	3475	17672	12701	18427	5307	5918
149628	223	585	321	562	1070	129	632	408	297	168	207
3428	3643	3486	4199	8105	4125	586	4362	2109	2426	930	836
107181291	0	0	0	0	2	0	0	0	0	0	0
105371461	8	7	18	24	41	2	8	15	8	3	8
9447	133	91	153	330	176	13	96	100	129	36	47
100189166	0	0	0	0	0	0	0	0	0	0	0
57863	0	1	0	1	2	0	0	0	0	0	0
100131825	0	0	0	0	1	0	0	0	0	0	0
2532	1	20	16	22	28	0	0	9	17	0	5
2205	457	732	639	624	806	370	1030	157	287	59	341
441911	0	0	0	0	0	0	0	0	0	0	0
26476	0	0	0	0	0	0	0	0	0	0	0
391121	0	0	0	0	0	0	0	0	0	0	0
105371462	0	0	0	0	0	0	0	0	0	0	0
127385	0	0	0	0	0	0	0	0	0	0	0
107985215	0	0	0	0	0	0	0	0	0	0	0
325	0	0	0	0	0	0	0	0	0	0	0
1401	0	0	0	0	0	0	0	0	0	0	0
101928264	0	0	0	2	2	0	0	0	0	0	0
54935	67	128	96	146	207	78	95	52	92	92	109
105371464	8	42	18	38	109	5	17	13	8	6	26
343413	152	458	229	520	1441	151	283	446	268	215	171
107985217	6	28	10	27	67	12	8	23	8	7	13
56833	35	74	58	117	163	22	50	90	49	23	22
284677	12	26	15	28	36	6	14	23	12	9	9
391123	3	6	11	3	2	5	9	3	1	1	3
107985216	15	82	95	33	50	4	26	51	15	7	26
25790	63	45	85	75	63	14	66	32	41	17	17
100422852	0	0	0	0	0	0	0	0	0	0	0
8407	12017	16918	14504	17527	14540	5732	17292	9248	10777	8128	5297
57549	1	1	1	1	3	0	0	2	0	0	2
89886	0	6	4	5	9	2	4	3	1	6	1
100505633	0	0	0	0	1	0	0	0	0	1	0
93183	115	177	134	155	247	46	188	79	72	60	120
3766	1	2	0	11	4	1	5	5	0	1	2
3765	1	1	0	0	0	0	0	0	0	0	0
93185	208	404	332	384	616	163	502	205	231	234	217
477	4	4	1	1	3	0	3	1	0	0	0
480	7	4	0	0	0	0	25	0	0	5	0
844	1	4	1	1	6	0	23	3	1	0	0
729867	6	6	9	5	19	2	9	4	6	6	2
8682	620	1122	533	1050	1340	365	1077	536	719	460	341
50717	1032	1803	1407	1613	2155	498	1852	935	1106	577	892
100287049	9	20	8	15	22	0	12	12	6	5	16
5824	498	735	485	643	801	203	654	369	434	280	288
107985219	17	21	16	19	36	8	22	14	16	9	7
1314	1611	2010	1173	2357	2329	428	2595	1188	1230	456	472
474338	42	84	61	75	129	28	63	38	55	42	65
23385	1394	1590	980	1611	1626	284	1739	893	958	480	383
4807	4	0	5	4	7	4	11	7	1	1	1
105371466	0	0	0	0	0	0	0	1	0	0	0
57216	4	7	2	2	6	1	2	1	0	0	0
105371467	0	1	0	0	0	0	0	0	0	0	0
114836	731	1515	816	1143	1789	311	1372	691	567	531	542
105371468	0	1	1	2	6	3	0	1	1	1	4
8832	654	998	632	879	1124	228	766	447	458	316	517
6504	262	538	253	315	472	117	277	192	178	205	265
107985220	3	4	1	2	3	1	4	1	2	4	4
962	1964	2927	2434	3080	4747	1233	1965	1411	2437	3144	4935
57823	406	1061	684	1333	2362	252	1100	673	604	522	476
105371470	3	9	2	3	1	0	1	2	0	3	5
4063	479	1111	628	631	932	339	884	475	395	559	585
51744	479	822	431	906	1454	301	1032	356	535	338	428
55600	83	15	65	21	26	8	22	12	27	48	0
101928372	0	0	1	1	0	0	0	0	0	0	0
142683	4	1	6	1	3	2	0	1	2	1	0
50848	2306	2177	1335	2268	1850	435	1668	1302	1579	617	568
100131187	139	289	209	208	419	95	257	107	162	172	264
7391	965	1475	1157	2021	2180	538	1537	1080	1105	685	746
257106	6737	9263	5546	10358	10998	2442	10232	5657	6908	2397	2939
81607	2	1	1	0	0	1	2	0	1	0	0
105371471	0	0	0	0	0	0	0	0	0	0	0
126823	2	4	1	3	6	0	1	0	4	2	2
5202	148	225	157	210	281	89	175	87	140	127	126
4817	266	363	302	417	539	124	446	247	282	160	197
9191	439	617	467	652	757	185	734	408	465	261	251
51506	538	1140	673	890	1268	439	931	438	713	548	688
112543491	6	4	3	6	9	1	3	1	0	1	2
27005	222	455	328	386	556	163	523	228	256	168	185
5498	113	164	192	193	360	125	284	120	136	129	125
8703	402	581	649	636	937	338	682	346	394	406	345
9507	3	18	14	16	20	5	19	8	15	12	12
4720	711	1160	645	1158	1295	326	1286	549	663	494	426
2207	3424	2962	3265	5020	4603	1260	4977	2433	3528	1716	1414
336	0	3	2	1	2	0	2	3	0	0	2
84134	104	202	103	165	219	48	175	103	124	97	104
100847090	2	3	1	1	4	0	1	1	0	0	0
9970	9	22	9	16	27	7	15	4	15	7	7
654790	4	6	2	5	7	1	4	0	0	0	5
105371472	2	9	7	7	5	5	16	3	5	1	3
107985221	15	10	16	13	7	4	15	5	7	0	7
4359	39	57	34	64	105	18	69	39	64	11	38
6391	462	776	502	742	894	214	695	338	501	329	432
257177	13	16	11	20	15	3	11	9	8	3	13
100189373	0	1	0	0	1	0	0	0	0	0	0
100189407	3	0	1	0	1	1	0	0	1	0	0
100189402	0	0	0	0	0	0	0	0	0	0	0
100188997	0	0	0	0	0	0	0	0	0	0	0
100189412	0	0	0	0	0	0	0	0	0	0	0
100189394	0	0	0	0	0	0	0	0	0	0	0
100189366	0	0	0	0	0	0	0	0	0	0	0
100189091	0	0	0	0	0	0	0	0	0	0	0
100189260	0	0	1	0	0	0	0	0	0	0	0
100189235	0	0	0	0	0	0	0	0	0	0	0
100189009	0	0	0	0	0	0	0	0	0	0	0
100189252	0	0	0	0	0	0	0	0	0	0	0
100189385	0	0	0	0	0	0	0	0	0	0	0
100189141	0	0	1	0	0	0	0	0	0	0	0
100189290	0	0	0	0	0	0	0	0	0	0	0
100189316	0	0	0	0	0	0	0	0	0	0	0
100189230	0	1	0	0	0	0	0	0	0	0	0
100189259	0	0	0	0	0	0	0	0	0	0	0
100189188	0	0	1	0	0	0	0	0	0	0	0
100189134	0	0	0	0	0	0	0	0	0	0	0
100189364	0	0	0	0	0	0	0	0	0	0	0
100189160	0	1	0	0	0	0	0	0	0	0	0
100189017	0	0	0	0	0	0	0	0	0	0	0
100189039	0	0	1	0	0	0	0	0	0	0	0
100189120	0	0	0	0	0	0	0	0	0	0	0
100189139	0	0	0	0	0	0	0	0	0	0	0
100189274	0	0	0	0	0	0	0	0	0	0	0
105371473	0	0	1	2	1	0	1	1	0	0	0
2212	7351	8594	9034	10667	5320	1464	6234	5221	7673	2864	2702
100189380	4	7	2	1	5	1	2	1	3	3	2
3310	999	1372	1274	2467	1427	263	837	1053	1454	450	548
100189018	0	3	3	0	2	0	0	0	0	0	0
100189011	0	2	2	0	1	0	0	0	1	0	2
100189126	0	0	0	0	0	0	0	0	0	0	0
2214	12816	16892	13264	25844	18402	2679	9481	13593	24021	5091	7664
9103	1939	2224	2335	2774	1742	378	1717	1516	2105	739	780
3311	426	621	652	1092	682	128	386	611	887	226	369
100189003	1	2	0	2	1	0	0	1	3	0	0
2215	26801	29481	32477	48693	27770	5269	11644	27973	47240	8898	12928
2213	584	758	743	767	823	177	525	404	684	255	364
641311	0	5	1	2	4	0	2	0	0	0	4
84824	292	657	381	315	612	161	457	218	92	185	256
127943	7	12	15	14	22	7	18	10	9	9	8
11266	78	178	114	129	236	51	100	58	97	106	130
102724329	0	1	3	0	0	0	3	1	0	2	1
22926	947	1195	1039	1369	942	202	1072	591	818	290	323
25903	5	11	1	9	11	0	24	1	6	4	0
9722	0	1	0	1	3	0	1	0	0	0	0
105371475	0	0	0	0	0	0	0	0	0	1	0
100616386	0	0	0	0	0	0	0	0	0	0	0
693141	0	0	0	0	0	0	0	0	0	0	0
284680	0	0	0	0	0	0	2	0	0	0	0
400793	3	3	0	4	10	5	1	2	3	0	1
117157	165	512	238	464	734	183	665	143	394	165	201
105371497	0	0	0	0	0	0	0	0	0	0	0
127933	1287	1677	910	1134	1544	187	1226	682	687	234	580
102724358	0	0	0	0	0	0	0	0	0	0	0
6675	118	221	172	178	319	44	232	98	116	75	98
4921	4	2	7	4	8	3	3	5	2	1	6
51478	74	105	80	79	132	28	116	53	40	60	58
339512	0	0	0	0	0	0	0	0	0	0	0
107985223	0	0	0	0	0	0	0	0	0	0	0
5999	0	0	0	0	0	0	0	0	0	0	0
8490	4	5	13	11	13	1	25	0	5	13	10
101928404	0	0	0	0	0	0	0	0	0	0	0
83540	31	22	18	20	58	5	18	10	12	3	8
100422212	0	0	0	0	0	0	0	0	0	0	0
5087	46	68	95	60	66	58	98	60	41	52	11
100505795	0	0	0	0	0	0	0	0	0	0	0
107985451	0	0	0	0	0	0	0	0	0	0	0
107985452	0	0	0	0	0	0	0	0	0	0	0
4009	0	0	0	0	0	0	0	0	0	0	0
105371561	0	0	0	0	0	0	0	0	0	0	0
102725140	0	0	0	0	0	0	0	0	0	0	0
6258	0	0	0	0	0	0	0	0	0	0	0
400794	0	0	0	0	0	0	0	0	0	0	0
440699	0	0	0	0	0	0	0	0	0	0	0
4259	232	387	143	297	393	160	369	107	206	212	236
223	552	969	577	883	1030	206	1233	599	614	247	239
440700	3	1	1	0	0	1	1	0	0	0	3
105371581	1	0	0	1	0	0	0	0	0	0	2
54499	575	802	572	732	1004	212	731	331	444	357	511
100147773	1	2	1	4	2	1	0	0	1	3	1
7371	146	194	94	150	236	52	182	82	94	50	62
100500832	1	2	2	2	4	0	2	1	0	1	1
149297	1	1	1	2	6	3	2	1	2	0	0
105371586	0	4	1	1	0	1	0	0	0	0	0
100126349	0	0	0	0	0	0	0	0	0	0	0
112268276	0	0	0	0	0	0	0	0	0	0	0
105371590	1	2	0	2	1	0	0	1	0	0	0
116123	0	0	0	0	0	0	0	0	0	0	0
57645	569	888	539	719	886	228	890	440	418	172	366
117143	106	144	69	136	164	43	216	65	86	55	75
387597	3	4	4	14	4	1	5	2	1	0	0
84944	1	0	4	2	2	1	1	0	1	0	0
105371600	2	5	5	5	0	0	8	1	5	0	9
10223	150	204	144	123	141	56	200	62	96	105	122
105371598	1	3	0	0	0	4	0	1	0	0	1
92235	0	0	0	0	0	0	0	0	0	0	0
105371601	0	0	0	0	0	0	0	0	0	0	0
101928484	0	0	0	0	0	0	0	0	0	0	0
5451	385	396	235	352	403	61	377	190	211	53	143
919	1453	3378	1728	2643	4990	1065	3950	1523	1780	1827	1614
101928512	9	4	2	1	26	1	20	2	4	1	4
107985224	4	1	6	15	5	4	5	3	3	3	2
8804	648	756	697	883	965	173	693	410	586	392	226
92241	3382	5713	2298	4935	4963	1028	5083	2182	2492	1058	1658
100189211	0	0	0	1	0	0	1	0	1	0	0
100189019	0	0	0	0	0	0	0	0	0	0	0
9019	889	1113	991	1706	889	702	1049	983	791	544	400
55811	0	1	4	3	3	4	5	1	0	0	3
25874	264	345	283	327	470	118	261	160	214	208	239
55827	450	533	603	713	701	184	571	306	501	318	205
100313835	0	0	0	0	0	0	0	0	0	0	0
23432	1	2	2	3	3	0	4	1	4	0	0
261726	337	448	294	391	556	86	341	246	216	168	248
375035	824	927	534	924	1071	180	999	526	483	144	356
84832	28	30	26	27	32	4	38	20	12	3	14
9095	54	50	36	72	108	29	61	41	51	19	46
693142	0	0	0	0	0	0	0	0	0	0	0
100505918	0	0	0	0	0	0	0	0	0	0	0
101928565	0	0	0	0	0	0	0	0	0	0	0
6846	27	98	46	115	175	53	114	41	111	97	101
6375	13	44	30	61	134	26	117	28	47	60	70
105371604	0	0	0	0	0	0	0	0	0	0	0
1805	0	0	0	0	0	0	0	0	0	0	0
79100	0	0	0	0	0	0	0	0	0	0	0
105371606	0	0	0	0	0	0	0	0	0	0	0
101978719	0	0	0	0	0	0	0	0	0	0	0
101928596	0	0	0	0	0	0	0	0	0	0	0
481	26	42	24	26	38	14	79	17	23	18	19
29922	31	78	59	47	83	17	81	30	45	30	19
8548	165	216	189	285	275	57	211	97	171	61	131
105371605	0	0	0	0	0	0	0	0	0	0	0
57821	0	0	2	3	2	0	2	0	1	0	1
10560	29	33	34	45	55	10	34	25	22	12	32
2153	367	301	364	561	429	43	443	223	339	86	77
6403	68	136	100	134	125	78	166	88	109	66	22
107985745	4	2	4	7	11	2	5	5	2	5	0
6402	17741	28352	20174	34860	22381	4476	28108	13654	17208	8491	5953
6401	0	1	1	0	0	0	1	1	0	0	0
101928628	0	0	0	0	0	0	0	0	0	0	0
92342	89	182	98	117	220	39	121	65	58	53	103
55732	60	127	83	105	106	18	119	39	63	26	60
57147	263	471	274	354	361	65	357	181	184	106	194
22920	189	288	183	247	368	56	376	129	126	72	81
105371608	0	0	1	0	0	0	1	0	0	0	0
149281	0	0	0	0	0	0	0	0	0	0	0
100423010	0	0	0	0	0	0	0	0	0	0	0
100422839	0	0	0	0	0	0	0	0	0	0	0
105371609	0	0	0	0	0	0	0	0	0	0	0
284688	0	0	0	0	0	0	0	0	0	0	0
101928650	0	0	0	4	4	0	0	0	0	2	0
92344	41	74	68	78	115	23	83	42	60	34	80
105371610	0	0	0	0	0	0	0	0	0	0	0
5396	0	0	0	0	0	0	0	0	0	0	0
80133	0	0	0	0	0	1	0	0	0	0	0
2328	0	0	0	0	0	0	0	0	0	0	0
100302178	0	0	0	0	0	0	0	0	0	0	0
100847009	0	0	0	0	0	0	0	0	0	0	0
105371611	0	1	2	0	0	0	0	0	0	0	4
388714	0	0	0	0	0	0	0	0	0	0	0
2327	0	0	1	0	0	0	0	0	1	0	0
2326	2	3	1	1	18	0	1	0	0	1	1
2329	45	67	40	63	84	21	74	27	37	21	38
7151	27	42	28	45	42	7	48	19	24	8	11
23215	2584	2597	1598	2621	2777	370	2663	1516	1392	280	923
